Response	Predictor	Species	median	lower95	upper95	significant
disper_braycurtis	Anbo_1	Anbo	-0.103055149402582	-0.206686295991473	-0.00229102662381208	TRUE
disper_braycurtis	Anbo_10	Anbo	-0.0381198353560626	-0.135509257631583	0.063705154352164	FALSE
disper_braycurtis	Anbo_2	Anbo	0.241255876657881	0.139921047684861	0.349683775469888	TRUE
disper_braycurtis	Anbo_3	Anbo	0.0712922756986726	-0.0317431017315731	0.170332071758148	FALSE
disper_braycurtis	Anbo_4	Anbo	0.124172538292903	0.0180321084323921	0.22303237131594	TRUE
disper_braycurtis	Anbo_5	Anbo	-0.00252608710578217	-0.10209269575276	0.0958153716228162	FALSE
disper_braycurtis	Anbo_6	Anbo	-0.109429415102702	-0.206334984407288	-0.012669052381977	TRUE
disper_braycurtis	Anbo_7	Anbo	-0.0857980883328963	-0.194198687279123	0.0187477877361214	FALSE
disper_braycurtis	Anbo_8	Anbo	-0.0939966640965683	-0.198384693941684	0.00390514319772661	FALSE
disper_braycurtis	Anbo_9	Anbo	0.000516149350992135	-0.0943903867740589	0.101934288077755	FALSE
disper_braycurtis	Osse_1	Osse	0.0288728333977739	-0.0768377012195142	0.131014204598858	FALSE
disper_braycurtis	Osse_10	Osse	0.0223574690835731	-0.0841246072617619	0.124720656916899	FALSE
disper_braycurtis	Osse_2	Osse	-0.0114005430522931	-0.115773282011059	0.0860124433901047	FALSE
disper_braycurtis	Osse_3	Osse	0.00985888883670218	-0.089493673047791	0.11713317825385	FALSE
disper_braycurtis	Osse_4	Osse	0.0444877883624151	-0.0560972830939317	0.145096980441636	FALSE
disper_braycurtis	Osse_5	Osse	-0.0490479206279178	-0.15088226805506	0.0480994881095818	FALSE
disper_braycurtis	Osse_6	Osse	-0.11310803400935	-0.217403528248553	-0.0137427958329009	TRUE
disper_braycurtis	Osse_7	Osse	-0.0194698611082732	-0.119217330925623	0.0849368322756968	FALSE
disper_braycurtis	Osse_8	Osse	0.0578809021643561	-0.0534245166215736	0.1703636268653	FALSE
disper_braycurtis	Osse_9	Osse	0.0269628286113738	-0.0789831341384669	0.137595561624745	FALSE
disper_braycurtis	Raca_1	Raca	0.0979782027467597	-0.0092826073160502	0.204829971011675	FALSE
disper_braycurtis	Raca_10	Raca	0.0489813293446417	-0.0620926903830942	0.151187191587019	FALSE
disper_braycurtis	Raca_2	Raca	0.0346803842555421	-0.0664020896138825	0.140382757866428	FALSE
disper_braycurtis	Raca_3	Raca	-0.05982980405752	-0.164335227435438	0.0394613209372289	FALSE
disper_braycurtis	Raca_4	Raca	-0.0532152278974411	-0.152458877794301	0.0408649681399565	FALSE
disper_braycurtis	Raca_5	Raca	-0.00363261590979437	-0.106232964979384	0.0944431450179717	FALSE
disper_braycurtis	Raca_6	Raca	-0.0767459468435604	-0.178625858636587	0.0244677971491527	FALSE
disper_braycurtis	Raca_7	Raca	0.027379074558854	-0.0980346799010416	0.156513794463626	FALSE
disper_braycurtis	Raca_8	Raca	0.0265670209495722	-0.0690330040539569	0.135026676034062	FALSE
disper_braycurtis	Raca_9	Raca	-0.046088494039756	-0.177536046922847	0.0813022549114468	FALSE
disper_braycurtis	Rapi_3	Rapi	-0.0709903396705663	-0.204027713300956	0.0568815450752437	FALSE
disper_braycurtis	Rapi_4	Rapi	-0.011598996468769	-0.145268702616242	0.108303833635013	FALSE
disper_braycurtis	Rapi_6	Rapi	0.0799294778190311	-0.0472610202416423	0.204959643427508	FALSE
disper_braycurtis	Rhma_1	Rhma	0.0089479450457155	-0.0946962771095753	0.119967107365062	FALSE
disper_braycurtis	Rhma_2	Rhma	0.0203025116300001	-0.0861352828075293	0.129842960767271	FALSE
disper_braycurtis	Rhma_3	Rhma	-0.014329168911292	-0.128102976677694	0.0896799908849988	FALSE
disper_braycurtis	Rhma_5	Rhma	0.0259437854676163	-0.0833347707087792	0.131950003961124	FALSE
disper_braycurtis	Rhma_8	Rhma	-0.00358965256608356	-0.112982102271914	0.100615343464697	FALSE
disper_braycurtis	Rhma_9	Rhma	-0.0378238523263975	-0.148278125491866	0.0705671600817315	FALSE
disper_unweighted_unifrac	Anbo_1	Anbo	-0.0234131684044459	-0.0749162309778146	0.0217222282782009	FALSE
