#SampleID	Original_SampleID	Bd_inhibition	Host-species	Life-stage	Region	Study	RDP2.3_taxonomy	RDP_confidence	Uclust_taxonomy	Uclust_confidence	GenBank_accession	Mariannaea_inhibition	Rhizomucor_inhibition
Litoriarheocola-inhibitory_1	Australia1033	inhibitory	Litoriarheocola	Subadult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	1			
Litorialongirostris-inhibitory_1	Australia1085	inhibitory	Litorialongirostris	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__; s__	1			
Litorialongirostris-inhibitory_2	Australia1086	inhibitory	Litorialongirostris	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__; s__	1			
Litorialongirostris-inhibitory_3	Australia1108	inhibitory	Litorialongirostris	Adult	Queensland	1	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Chromobacterium	1	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Chromobacterium; s__	1			
Litorialongirostris-inhibitory_4	Australia1109	inhibitory	Litorialongirostris	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	1			
Litorialongirostris-inhibitory_5	Australia1111R	inhibitory	Litorialongirostris	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__; s__	0.67			
Litorialongirostris-inhibitory_6	Australia1112	inhibitory	Litorialongirostris	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	0.67			
Litoriaeucnemis-inhibitory_1	Australia11641	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter	0.67			
Litoriaeucnemis-inhibitory_2	Australia11664R	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Chromobacterium	1	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	1			
Litoriaeucnemis-inhibitory_3	Australia1176	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	1			
Litoriaeucnemis-inhibitory_4	Australia1182	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	0.67			
Litoriaeucnemis-inhibitory_5	Australia1187	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	1			
Litoriaeucnemis-inhibitory_6	Australia1196	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__	0.67			
Litoriaeucnemis-inhibitory_7	Australia1203	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	1	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	1			
Litoriaeucnemis-inhibitory_8	Australia1204	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__	0.67			
Litoriaeucnemis-inhibitory_9	Australia1205	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	0.67			
Litoriaeucnemis-inhibitory_10	Australia1208	inhibitory	Litoriaeucnemis	Adult	Queensland	1	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	1	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	1			
