#SampleID	Bd_load	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	future_max_bd_load	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
1788.mck482Post.5Buma.2	0	0	Rhma	2	Post	Bd-exposed	Rhma_2	10	0	3	118	151.2142857	3.315926525	16.34685092	0.1822	0.294413214	0.085004064	2.391033111	0.906275454	1.609731571	8	0.4984	-0.448842185	-0.521303266	0.133084948	0.034068701	-0.316557495	0.069768556	28.24357674	22.46010257	18.61255843
1788.mck125Pre.3Rapi.8	0	0	Rapi	8	Pre	Control	Rapi_8	3	1		70	72.625	2.913291489	12.60413649	0.7092	0.578891455	0.448399395	1.59971236	0.984410918	0.940245901	9	0.1835	0.030656325	0.265112736	0.171224465	-0.278715357	0.531713331	-0.148236466	28.24357674	22.46010257	18.61255843
1788.mck230Pre.5Rapi.7	0	0	Rapi	7	Pre	Control	Rapi_7	5	1		112	150.1538462	3.661276498	18.15665592	0.7122	0.54956316	0.219077608	1.349101488	0.746533458	1.36505632	10	0.4785	-0.218023654	-0.112865599	0.135923082	0.144953831	0.189362172	0.0054774	28.24357674	22.46010257	18.61255843
1788.mck699Post.9Buma.2	0	0	Rhma	2	Post	Bd-exposed	Rhma_2	14	0	3	111	134.4	3.734438669	15.51294123	0.3407	0.320201057	0.13155966	1.123976072	0.67400613	1.476720588	9	0.3261	-0.398193841	-0.424652738	-0.146188551	-0.144666859	-0.294837192	0.043872918	28.24357674	22.46010257	18.61255843
1788.mck320Post.2Buma.2	0	0	Rhma	2	Post	Bd-exposed	Rhma_2	7	0	3	113	122.1666667	4.885193528	14.65812424	0.5166	0.490746108	0.31381182	1.284476557	0.816907235	1.229769563	13	0.4397	-0.20891059	-0.285151958	0.077812246	-0.109218679	-0.247644927	0.014942115	28.24357674	22.46010257	18.61255843
1788.mck73Pre.2Rapi.9	0	0	Rapi	9	Pre	Bd-exposed	Rapi_9	2	1		117	138	3.298027829	18.10935708	0.6313	0.56492627	0.226771786	1.319940988	0.649701796	0.963606324	15	0.7192	0.028945358	-0.011145764	0.144740455	-0.246713261	0.271752704	0.04546403	28.24357674	22.46010257	18.61255843
1788.mck18Pre.1Buma.8	0	0	Rhma	8	Pre	Bd-exposed	Rhma_8	1	0	2.666666667	135	170.7692308	4.564871203	15.78807754				1.012783245	0.705826885	1.031900602	14	0.3468	-0.15424073	-0.265241263	-0.066842844	-0.248691811	-0.319468665	0.006194545	28.24357674	22.46010257	18.61255843
1788.mck51Pre.2Raca.8	0	0	Raca	8	Pre	Control	Raca_8	2	0		198	219.5769231	4.3168476	29.64460016	0.6907	0.795751996	0.462934951	0.947486378	1.193727711	1.124521774	11	0.1015	0.329547599	-1.295437245	0.268482393	-0.431079397	0.410079965	0.372017075	28.24357674	22.46010257	18.61255843
1788.mck649Post.8Buma.4	0	0	Rhma	4	Post	Bd-exposed	Rhma_4	13	1		141	155	4.550240636	20.04157449	0.259	0.297971319	0.094210657	1.093114764	0.588834651	0.492033875	10	0.3227	-0.327630175	-0.575023394	-0.015859438	-0.034625016	-0.163365085	0.082194589	28.24357674	22.46010257	18.61255843
1788.mck631Post.7Osse.9	0	0	Osse	9	Post	Control	Osse_9	12	0		96	102.875	3.525453644	16.45192759	0.4794	0.563066824	0.237541858	1.862100126	0.743703309	1.219230266	6	0.5526	0.062401551	0.039382876	0.189816274	0.57995832	0.44963406	-0.161876386	28.24357674	22.46010257	18.61255843
1788.mck422Post.4Raca.5	0	0	Raca	5	Post	Bd-exposed	Raca_5	9	0	0.333333333	91	121.6666667	3.465470432	13.09176685	0.6944	0.530839869	0.55050162	1.227409745	0.944237402	0.947738574	8	0.4252	-0.265974308	0.007685037	0.248278003	-0.00627052	-0.160857251	0.193932398	28.24357674	22.46010257	18.61255843
1788.mck527Post.6Raca.4	0	0	Raca	4	Post	Bd-exposed	Raca_4	11	0	1.333333333	169	198.5263158	4.965613816	24.5696431	0.5172	0.524327084	0.242053878	0.838221623	0.80397233	0.723567894	12	0.2259	-0.041952873	-0.589055317	0.198894516	-0.358570315	0.224981199	0.331601756	28.24357674	22.46010257	18.61255843
1788.mck173Pre.4Rapi.3	0	0	Rapi	3	Pre	Bd-exposed	Rapi_3	4	0	0	93	101.25	3.765775085	15.54231998	0.67	0.601619583	0.365829463	1.416853922	0.673443173	0.491708601	7	0.2836	-0.088974729	0.27839961	-0.161074513	0.262527533	0.395500092	-0.007003286	28.24357674	22.46010257	18.61255843
1788.mck524Post.6Raca.1	0	0	Raca	1	Post	Bd-exposed	Raca_1	11	0	1.333333333	38	38	2.760301349	7.690603447	0.813	0.664794938	0.287871698	1.936696142	1.638900852	1.46404037	9	0.6408	-0.040069532	0.894251268	0.225350755	0.442782967	-0.544274582	-0.021041846	28.24357674	22.46010257	18.61255843
1788.mck725Post.9Bubo.5	0	0	Anbo	5	Post	Bd-exposed	Anbo_5	14	0	3.666666667	71	78.8	1.698908214	12.23052834	0.4647	0.57448546	0.234655199	2.176433634	0.774522495	1.60796857	8	0.8238	-0.530102391	0.116247939	0.308751787	0.138475165	-0.247868732	-0.019033654	28.24357674	22.46010257	18.61255843
1788.mck310Post.2Raca.2	0	0	Raca	2	Post	Bd-exposed	Raca_2	7	0	0	106	114.75	3.878625142	15.96666081	0.7204	0.582004182	0.414835471	1.600234379	0.716427093	1.294464506	13	0.2622	-0.04364222	-0.005124663	0.111318342	-0.176210463	0.084782378	0.249610627	28.24357674	22.46010257	18.61255843
1788.mck752Post.10Bubo.10	0	0	Anbo	10	Post	Control	Anbo_10	15	0		81	87.11111111	4.471660121	12.7923138	0.4092	0.295002681	0.261497168	2.291373897	1.183482892	1.33436585	8	0.3805	0.077222627	0.086890017	-0.033315074	0.124440118	-0.066080392	-0.058277015	28.24357674	22.46010257	18.61255843
1788.mck35Pre.1Bubo.2	0	0	Anbo	2	Pre	Bd-exposed	Anbo_2	1	0	7.666666667	98	117.0909091	4.338428922	13.87512565				1.159635199	0.642664847	0.66797906	16	0.5238	0.456377122	0.17487381	0.004383238	-0.106017532	0.136444482	-0.091350835	28.24357674	22.46010257	18.61255843
1788.mck505Post.5Bubo.2	5.333333333	1	Anbo	2	Post	Bd-exposed	Anbo_2	10	0	7.666666667	59	67.25	2.973544638	8.931242978	0.5279	0.396201783	0.434212255	2.918367011	0.804213588	2.264796585	8	0.5726	-0.316726807	0.248664944	-0.343976878	0.138212827	-0.23647155	0.032384894	28.24357674	22.46010257	18.61255843
1788.mck767Post.10Buma.5	0	0	Rhma	5	Post	Control	Rhma_5	16	0		104	124.6470588	2.544408145	16.1732289				1.213411913	0.520793989	1.566013509	11	0.6767	-0.507166616	-0.520594083	0.259040591	-0.046141441	-0.228024938	0.004580743	28.24357674	22.46010257	18.61255843
1788.mck539Post.6Buma.6	0	0	Rhma	6	Post	Bd-exposed	Rhma_6	11	1		128	147	4.9015486	17.7403019	0.455	0.243537494	0.202326318	1.153312611	0.722754172	0.753893338	12	0.2276	-0.334652959	-0.450337669	-0.019969099	-0.163034253	-0.139390551	0.086179915	28.24357674	22.46010257	18.61255843
1788.mck565Post.6Bubo.9	0	0	Anbo	9	Post	Control	Anbo_9	11	0		50	52.5	3.327287014	7.710402709	0.5026	0.640171842	0.270317566	0.932551982	0.892925099	0.92204639	10	0.4189	0.468684572	0.595155909	-0.182007229	0.103741788	-0.363963689	-0.180499484	28.24357674	22.46010257	18.61255843
1788.mck61Pre.2Buma.8	0	0	Rhma	8	Pre	Bd-exposed	Rhma_8	2	0	2.666666667	177	220.9375	4.425501007	24.38171615	0.5195	0.519373761	0.326260946	1.118598408	0.905191575	0.556634497	12	0.1069	-0.258659965	-0.660024446	-0.334233205	-0.282534433	0.078503107	0.020285993	28.24357674	22.46010257	18.61255843
1788.mck457Post.4Bubo.7	0	0	Anbo	7	Post	Control	Anbo_7	9	0		56	61.6	3.199278598	8.452868828	0.2939	0.383623317	0.196730135	1.327095416	1.02278853	1.093399163	7	0.7012	0.383811107	0.394736472	0.133750992	0.015375759	-0.284778908	-0.182085799	28.24357674	22.46010257	18.61255843
1788.mck624Post.7Osse.2	0	0	Osse	2	Post	Bd-exposed	Osse_2	12	0	0	300	346.5789474	5.856920308	38.53176242	0.8873	0.760896531	0.64065338	1.824893828	1.791596563	3.507718823	14	0.0743	-0.077728201	-1.142238019	-0.299623254	0.751814815	1.52430427	0.701602257	28.24357674	22.46010257	18.61255843
1788.mck557Post.6Bubo.1	0	0	Anbo	1	Post	Bd-exposed	Anbo_1	11	0	3.333333333	54	67	2.145623989	9.866760572	0.287	0.457328664	0.111425692	1.588679986	0.795567411	1.116856987	6	0.8239	0.485422039	0.283538934	0.130652028	0.123772688	-0.380589188	-0.185704458	28.24357674	22.46010257	18.61255843
1788.mck364Post.3Raca.3	0	0	Raca	3	Post	Bd-exposed	Raca_3	8	0	1.666666667	99	103.5	3.678046956	16.05945967	0.2896	0.514710348	0.190969988	0.999816714	0.55991479	1.059261025	12	0.4594	0.110232484	0.016232042	0.149955391	-0.355274399	0.118872691	0.200266411	28.24357674	22.46010257	18.61255843
1788.mck374Post.3Buma.3	0	0	Rhma	3	Post	Control	Rhma_3	8	0		106	133	3.315166224	17.3769528	0.6382	0.497728143	0.376365119	1.476769977	0.7361666	1.088400748	5	0.0542	-0.46459855	-0.616355206	-0.254552122	-0.492269298	0.076174481	0.04881434	28.24357674	22.46010257	18.61255843
1788.mck402Post.3Bubo.8	0	0	Anbo	8	Post	Control	Anbo_8	8	0		60	68.66666667	3.107564895	11.37885384	0.4796	0.398119175	0.290867392	0.893143834	0.627959736	0.59311852	7	0.4748	0.500328623	0.419856935	-0.127062679	0.015815879	-0.385486469	-0.178955111	28.24357674	22.46010257	18.61255843
1788.mck75Pre.2Rapi.11	0	0	Rapi	11	Pre	Control	Rapi_11	2	1		100	106.5625	4.333880559	16.84256221	0.6155	0.569565878	0.310898678	1.094553135	0.688054836	0.581009279	16	0.4537	-0.043632221	0.159476844	-0.016212373	-0.052993387	0.463500808	0.066609661	28.24357674	22.46010257	18.61255843
1788.mck165Pre.4Buma.6	0	0	Rhma	6	Pre	Bd-exposed	Rhma_6	4	1		137	166	4.436718557	16.64629314	0.4177	0.391251455	0.187816347	0.960314724	0.733423191	0.767847394	13	0.1318	-0.232032199	-0.365627976	-0.30194562	-0.557155988	-0.286318936	-0.01718753	28.24357674	22.46010257	18.61255843
1788.mck306Post.1Osse.8	0	0	Osse	8	Post	Control	Osse_8	6	0		82	92.11111111	3.20004341	12.43555303				1.41238198	0.705197179	1.239402077	15	0.2851	0.500983259	0.117220972	-0.318125321	0.156440127	-0.181917746	-0.091260667	28.24357674	22.46010257	18.61255843
1788.mck450Post.4Rapi.12	0	0	Rapi	12	Post	Bd-exposed	Rapi_12	9	1		82	95.125	2.75341969	14.68406904				1.316504589	0.735110561	0.60952241	6	0.1585	-0.318509156	0.028741231	0.228392897	0.308824384	0.167246338	-0.039150024	28.24357674	22.46010257	18.61255843
1788.mck569Post.6Osse.3	0	0	Osse	3	Post	Bd-exposed	Osse_3	11	0	0	142	152.9090909	5.202818641	19.47261505	0.6025	0.657312785	0.284804131	1.185690677	0.753016912	0.645166523	15	0.0415	0.080086956	0.106366943	0.06075829	0.41988213	0.59601921	-0.280817875	28.24357674	22.46010257	18.61255843
1788.mck410Post.3Osse.6	0	0	Osse	6	Post	Bd-exposed	Osse_6	8	0	0	125	131.3157895	4.133646263	16.92759368	0.4302	0.50675259	0.250276499	1.46625926	0.743287656	0.804255897	20	0.4683	0.443359123	0.070997755	-0.054688515	0.299707052	0.486231721	-0.272165279	28.24357674	22.46010257	18.61255843
1788.mck343Post.2Bubo.2	0	0	Anbo	2	Post	Bd-exposed	Anbo_2	7	0	7.666666667	52	53.5	3.532910104	8.133687544	0.4609	0.548361542	0.283810748	2.243689591	0.877573035	2.425208661	5	0.2028	0.184357033	0.477893889	-0.404177722	0.071569164	-0.31613415	-0.245904877	28.24357674	22.46010257	18.61255843
1788.mck605Post.7Rapi.5	0	0	Rapi	5	Post	Bd-exposed	Rapi_5	12	1		86	88.33333333	4.170023361	14.37588146	0.4785	0.511328897	0.202107579	1.19916281	0.777918794	0.674758648	14	0.386	-0.1375546	-0.004280785	-0.009310918	0.262724676	-0.420068539	-0.03367059	28.24357674	22.46010257	18.61255843
1788.mck480Post.5Raca.10	0	0	Raca	10	Post	Control	Raca_10	10	0		75	79.66666667	3.387589078	11.83292023	0.6597	0.680572356	0.495118898	1.63174673	0.683141182	0.912657872	11	0.3763	-0.117709596	0.075723294	0.15312335	0.147900975	-0.372000252	0.008105108	28.24357674	22.46010257	18.61255843
1788.mck461Post.4Osse.1	0	0	Osse	1	Post	Bd-exposed	Osse_1	9	0	0	108	113	3.773087757	15.62701695	0.5246	0.481973318	0.226158107	1.337993888	0.697615278	1.140490547	12	0.1113	0.028623795	0.036433529	0.14756789	0.419502285	0.003239768	-0.113440555	28.24357674	22.46010257	18.61255843
1788.mck129Pre.3Rapi.12	0	0	Rapi	12	Pre	Bd-exposed	Rapi_12	3	1		73	95.66666667	3.989074758	11.04739073	0.2996	0.547852923	0.137225003	1.067217912	0.695285417	0.484963889	13	0.653	0.072026391	0.290012425	0.03669674	-0.060383379	-0.112891744	-0.029797627	28.24357674	22.46010257	18.61255843
1788.mck630Post.7Osse.8	0	0	Osse	8	Post	Control	Osse_8	12	0		102	130.1111111	3.397680445	16.66466905	0.805	0.690475429	0.613757742	1.372551722	0.834743585	1.001346089	9	0.1355	0.002375777	-0.176781625	0.070409899	0.457488676	-0.475092827	-0.127758537	28.24357674	22.46010257	18.61255843
1788.mck307Post.1Osse.9	0	0	Osse	9	Post	Control	Osse_9	6	0		64	66	3.953378342	8.657556272				1.250168927	0.774219207	0.466445413	11	0.4048	0.396148499	0.426608989	-0.066626782	-0.207317667	-0.119757395	-0.097129915	28.24357674	22.46010257	18.61255843
1788.mck262Post.1Raca.7	1.666666667	1	Raca	7	Post	Control	Raca_7	6	0		134	179.5555556	3.47668168	20.64975229	0.7445	0.540993304	0.448172935	1.370372003	0.784756244	0.768632148	15	0.5605	0.161315467	-0.326752818	0.17632683	-0.303405608	0.553518385	0.073543101	28.24357674	22.46010257	18.61255843
1788.mck546Post.6Rapi.2	0	0	Rapi	2	Post	Bd-exposed	Rapi_2	11	1		89	113.4285714	3.398637303	14.92422477	0.7138	0.710993016	0.509467685	1.090273554	0.621458904	1.58711943	10	0.3717	-0.155357121	-0.009426846	-0.291042662	0.333148625	-0.397908523	-0.00992613	28.24357674	22.46010257	18.61255843
1788.mck658Post.8Rapi.2	0	0	Rapi	2	Post	Bd-exposed	Rapi_2	13	1		79	94.16666667	3.33587447	13.29094128				0.919101599	0.666966913	0.523148362	8	0.4734	-0.247113789	-0.018510004	0.183721069	0.228018078	-0.61131083	0.00242886	28.24357674	22.46010257	18.61255843
1788.mck433Post.4Buma.6	0	0	Rhma	6	Post	Bd-exposed	Rhma_6	9	1		116	143.6	4.778064963	16.67036133	0.6559	0.476265996	0.373797984	1.031187394	0.903609035	0.606083984	12	0.2233	-0.281471018	-0.338054306	-0.025512032	-0.169904991	-0.081293539	0.043490827	28.24357674	22.46010257	18.61255843
1788.mck191Pre.4Bubo.9	0	0	Anbo	9	Pre	Control	Anbo_9	4	0		78	93.11111111	3.301536339	12.09408163	0.3795	0.417483791	0.320794187	1.134003882	0.717073806	0.533422673	11	0.4084	0.482054961	0.612577429	-0.216679747	-0.011772961	-0.127603572	-0.19804371	28.24357674	22.46010257	18.61255843
