	shannon
1788.mck772Post.10Buma.10	4.782380465637713
1788.mck266Post.1Buma.1	3.288844537732922
1788.mck311Post.2Raca.3	3.118011881833375
1788.mck768Post.10Buma.6	4.705588095956567
1788.mck520Post.5Osse.7	5.1406795075270155
1788.mck30Pre.1Rapi.9	3.989231228465938
1788.mck69Pre.2Rapi.5	4.406990582138406
1788.mck771Post.10Buma.9	3.12965777261819
1788.mck767Post.10Buma.5	2.5444081449758555
1788.mck702Post.9Buma.5	4.9679426885663505
1788.mck26Pre.1Rapi.5	3.291570953553318
1788.mck84Pre.2Bubo.8	3.468066881758047
1788.mck790Post.11Bubo.6	3.2354898370907814
1788.mck108Pre.3Buma.2	3.9132299643863
1788.mck310Post.2Raca.2	3.8786251422330302
1788.mck807Post.10Control.Mold	3.710204057036285
1788.mck198Pre.3Osse.6	4.246085731597621
1788.mck243Pre.5Bubo.8	3.424197895618037
1788.mck366Post.3Raca.5	4.255603371863404
1788.mck61Pre.2Buma.8	4.425501007474002
1788.mck787Post.11Bubo.2	3.5942741320929272
1788.mck697Post.9Raca.10	3.8063916211485846
1788.mck331Post.2Rapi.2	2.9307628258951888
1788.mck45Pre.2Raca.2	3.6277294217719396
1788.mck166Pre.4Buma.7	2.6537669264300887
1788.mck48Pre.2Raca.5	4.287910968746319
1788.mck348Post.2Bubo.7	3.1394780535076197
1788.mck88Pre.1Osse.2	2.912218383481216
1788.mck196Pre.3Osse.4	2.7999603122028205
1788.mck796Post.10Osse.3	4.762048009471508
1788.mck118Pre.3Rapi.1	3.2542503000019845
1788.mck468Post.4Osse.8	4.220970090214735
1788.mck349Post.2Bubo.8	3.9767401934755595
1788.mck231Pre.5Rapi.8	3.710664589133666
1788.mck93Pre.1Osse.7	3.9768150760299616
1788.mck185Pre.4Bubo.3	3.5941489592786335
1788.mck315Post.2Raca.7	4.30361220173563
1788.mck217Pre.5Buma.5	4.650493406312014
1788.mck558Post.6Bubo.2	4.68688455551986
1788.mck572Post.6Osse.6	4.191895520100163
1788.mck733Post.9Osse.4	2.963094191849855
1788.mck227Pre.5Rapi.4	2.747763685892813
1788.mck469Post.4Osse.9	4.742647078689383
1788.mck534Post.6Buma.1	4.483989893468048
1788.mck308Post.1Osse.10	4.3576347556646935
1788.mck219Pre.5Buma.7	3.1988898062330704
1788.mck169Pre.4Buma.10	4.157765344829624
1788.mck314Post.2Raca.6	5.09646289280582
1788.mck422Post.4Raca.5	3.4654704321838192
1788.mck518Post.5Osse.5	4.159973747690913
1788.mck559Post.6Bubo.3	4.5513755811799825
1788.mck573Post.6Osse.7	5.135667888890262
1788.mck102Pre.3Raca.6	4.559771731885692
1788.mck224Pre.5Rapi.1	3.9935625646341686
1788.mck776Post.10Rapi.3	2.8139421748407383
1788.mck147Pre.2Osse.8	3.9667441453705603
1788.mck113Pre.3Buma.7	3.327914363545851
1788.mck521Post.5Osse.8	4.619942523461067
1788.mck178Pre.4Rapi.8	4.139402831224567
1788.mck770Post.10Buma.8	4.013410979304386
1788.mck123Pre.3Rapi.6	3.9430003927439543
1788.mck766Post.10Buma.4	4.51432544315741
1788.mck438Post.4Buma.11	2.694179532464745
1788.mck208Pre.5Raca.6	4.227263158661285
1788.mck326Post.2Buma.8	5.63886519635071
1788.mck570Post.6Osse.4	3.4771972419117096
1788.mck335Post.2Rapi.6	2.8956978249839955
1788.mck769Post.10Buma.7	2.8498469595329996
1788.mck42Pre.1Bubo.9	3.6779518974985823
