	shannon
1788.mck257Post.1Raca.2	2.87268309153564
1788.mck678Post.8Osse.1	4.218134699795362
1788.mck536Post.6Buma.3	4.495113489329818
1788.mck206Pre.5Raca.4	3.794292106524166
1788.mck120Pre.3Rapi.3	4.394362769471131
1788.mck327Post.2Buma.9	3.9185466346128295
1788.mck745Post.10Bubo.2	2.583784528227522
1788.mck571Post.6Osse.5	4.4725502887749
1788.mck210Pre.5Raca.8	4.344217796464356
1788.mck784Post.10Rapi.11	5.042574471104498
1788.mck18Pre.1Buma.8	4.564871203283299
1788.mck658Post.8Rapi.2	3.3358744702411376
1788.mck5Pre.1Raca.5	3.913326125598282
1788.mck141Pre.2Osse.2	3.3276888486213108
1788.mck460Post.4Bubo.10	3.4197540464903473
1788.mck707Post.9Buma.10	4.254339345055058
1788.mck239Pre.5Bubo.4	4.315152102269874
1788.mck392Post.3Rapi.10	1.968508110914968
1788.mck216Pre.5Buma.4	4.027373941305113
1788.mck671Post.8Bubo.3	4.296709949535554
1788.mck402Post.3Bubo.8	3.1075648946472456
1788.mck380Post.3Buma.9	2.572323627371773
1788.mck465Post.4Osse.5	4.1951645480249
1788.mck11Pre.1Buma.1	4.134282136409006
1788.mck387Post.3Rapi.5	3.475909593717531
1788.mck92Pre.1Osse.6	3.900343305513588
1788.mck129Pre.3Rapi.12	3.989074758201378
1788.mck184Pre.4Bubo.2	3.6784923998658376
1788.mck758Post.10Raca.6	3.2344438852615083
1788.mck780Post.10Rapi.7	3.4776226888711204
1788.mck781Post.10Rapi.8	3.146361381160439
1788.mck60Pre.2Buma.7	4.63733391396592
1788.mck242Pre.5Bubo.7	3.2603480868707475
1788.mck103Pre.3Raca.7	3.862794600966865
1788.mck685Post.8Osse.8	4.4842421906242835
1788.mck171Pre.4Rapi.1	3.7186125698495704
1788.mck167Pre.4Buma.8	4.658814762774074
1788.mck670Post.8Bubo.2	2.147162073359521
1788.mck403Post.3Bubo.9	3.8835364373290755
1788.mck386Post.3Rapi.4	2.939498380537667
1788.mck757Post.10Raca.5	4.135165978941315
1788.mck138Pre.3Bubo.9	2.7147971055172904
1788.mck218Pre.5Buma.6	4.6407937064883775
1788.mck345Post.2Bubo.4	4.197657183588888
1788.mck464Post.4Osse.4	3.0188322908178304
1788.mck720Post.9Rapi.12	5.5668541784338235
1788.mck505Post.5Bubo.2	2.973544638153642
1788.mck291Post.1Bubo.3	3.1636877131451797
1788.mck130Pre.3Bubo.1	3.0159005404204247
1788.mck209Pre.5Raca.7	3.995442586615459
1788.mck179Pre.4Rapi.9	2.7040498325081215
1788.mck150Pre.4Raca.1	4.148760692249367
1788.mck467Post.4Osse.7	4.079996084112961
1788.mck112Pre.3Buma.6	4.806619774354935
1788.mck290Post.1Bubo.2	3.782186470781335
1788.mck29Pre.1Rapi.8	1.7811361312809662
1788.mck646Post.8Buma.1	4.910819156440373
1788.mck680Post.8Osse.3	5.117323580756533
1788.mck4Pre.1Raca.4	3.5560776134724494
1788.mck133Pre.3Bubo.4	3.999121573801672
1788.mck655Post.8Buma.10	4.763425182215298
1788.mck19Pre.1Buma.9	5.141049797052711
1788.mck161Pre.4Buma.2	5.1508105866139084
1788.mck153Pre.4Raca.4	4.506784671136643
1788.mck347Post.2Bubo.6	2.6880181208055984
1788.mck376Post.3Buma.5	5.124257528540652
1788.mck461Post.4Osse.1	3.7730877567430374
1788.mck383Post.3Rapi.1	2.900029022636978
1788.mck618Post.7Bubo.6	1.7359757847743016
1788.mck432Post.4Buma.5	4.694025955139829
1788.mck278Post.1Rapi.2	3.356891231572891
1788.mck517Post.5Osse.4	3.2555455159342994
1788.mck502Post.5Rapi.11	3.7969351916630742
1788.mck107Pre.3Buma.1	3.9499642190004502
1788.mck524Post.6Raca.1	2.7603013494529685
1788.mck38Pre.1Bubo.5	4.782823259493536
1788.mck109Pre.3Buma.3	5.5920015119928586
1788.mck85Pre.2Bubo.9	3.6547178454254152
1788.mck619Post.7Bubo.7	4.054276553352262
1788.mck55Pre.2Buma.2	3.6560357025887984
1788.mck279Post.1Rapi.3	2.524347565953806
1788.mck10Pre.1Raca.10	2.7077630257629752
1788.mck58Pre.2Buma.5	4.718985677083124
1788.mck35Pre.1Bubo.2	4.338428921720841
1788.mck674Post.8Bubo.6	3.301300298855756
1788.mck68Pre.2Rapi.4	2.9857766881851275
1788.mck404Post.3Bubo.10	2.8676634209296386
1788.mck116Pre.3Buma.10	4.4797388776152705
1788.mck303Post.1Osse.5	3.3138365790006326
1788.mck756Post.10Raca.4	3.4659182628668392
1788.mck463Post.4Osse.3	3.678453801891282
1788.mck624Post.7Osse.2	5.856920307589802
1788.mck170Pre.4Buma.11	2.7684587077124228
1788.mck295Post.1Bubo.7	3.0765532237486606
1788.mck427Post.4Raca.10	4.102062952364832
1788.mck43Pre.1Bubo.10	4.617903069829329
1788.mck526Post.6Raca.3	3.848196706750689
1788.mck146Pre.2Osse.7	4.106247303071374
1788.mck199Pre.3Osse.7	3.5318359629347165
1788.mck302Post.1Osse.4	4.022483396383757
1788.mck759Post.10Raca.7	4.5296284214220925
1788.mck230Pre.5Rapi.7	3.6612764975184513
1788.mck117Pre.3Buma.11	5.115082623904905
1788.mck197Pre.3Osse.5	2.2565962599139664
1788.mck89Pre.1Osse.3	3.4803221408426053
1788.mck462Post.4Osse.2	4.243470681056023
1788.mck343Post.2Bubo.2	3.5329101044637743
1788.mck372Post.3Buma.1	4.679467553420379
1788.mck294Post.1Bubo.6	2.1441616304860713
1788.mck684Post.8Osse.7	5.457918355317122
1788.mck251Pre.4Osse.6	4.231059748147857
1788.mck625Post.7Osse.3	4.702297936189972
1788.mck793Post.11Bubo.10	3.6310176614275598
1788.mck350Post.2Bubo.9	4.104404747090303
1788.mck393Post.3Rapi.11	2.569194111062451
1788.mck797Post.10Osse.4	4.423329541392753
1788.mck599Post.7Buma.10	4.923752553048993
1788.mck677Post.8Bubo.10	3.6550595779211186
1788.mck779Post.10Rapi.6	2.4387344163714086
1788.mck223Pre.5Buma.11	4.2211757756501544
1788.mck492Post.5Rapi.1	3.522004331235031
1788.mck451Post.4Bubo.1	3.4791687220437924
1788.mck173Pre.4Rapi.3	3.765775085258229
1788.mck542Post.6Buma.9	3.8826737960721243
1788.mck323Post.2Buma.5	4.722033199321777
1788.mck101Pre.3Raca.5	2.964266208473844
1788.mck240Pre.5Bubo.5	3.938796396952245
1788.mck551Post.6Rapi.7	3.5363331667221027
1788.mck805Post.10Control.Holtfreter	3.906033258483063
1788.mck428Post.4Buma.1	3.959291311391649
1788.mck575Post.6Osse.9	4.584682744873296
1788.mck628Post.7Osse.6	4.102941754058126
1788.mck486Post.5Buma.6	5.205660929160688
1788.mck23Pre.1Rapi.2	4.326793283348939
1788.mck236Pre.5Bubo.1	3.411650723978079
1788.mck13Pre.1Buma.3	4.01810605979331
1788.mck90Pre.1Osse.4	3.404514574034335
1788.mck806Post.10Control.Crickets	5.202525161180301
1788.mck544Post.6Buma.11	3.3420044278728755
1788.mck222Pre.5Buma.10	3.3225428654618403
1788.mck487Post.5Buma.7	2.5150978002065556
1788.mck286Post.1Rapi.10	3.785430725133102
1788.mck322Post.2Buma.4	4.836968029044496
1788.mck550Post.6Rapi.6	3.698780010431167
1788.mck574Post.6Osse.8	5.325588005352717
1788.mck585Post.7Raca.6	4.61887353639308
1788.mck711Post.9Rapi.3	3.2502090896860647
1788.mck614Post.7Bubo.2	2.278184360918527
1788.mck53Pre.2Raca.10	4.29234074239276
1788.mck484Post.5Buma.4	5.064876888392689
1788.mck528Post.6Raca.5	3.6312696462491894
1788.mck426Post.4Raca.9	3.818924814015919
1788.mck453Post.4Bubo.3	2.5957127757487743
1788.mck543Post.6Buma.10	4.689928335284566
1788.mck6Pre.1Raca.6	4.0657789200876815
1788.mck381Post.3Buma.10	1.6673846941412593
1788.mck615Post.7Bubo.3	3.59353090347002
1788.mck710Post.9Rapi.2	3.9114547156805557
1788.mck785Post.10Rapi.12	3.051965155363485
1788.mck110Pre.3Buma.4	4.814551836866451
1788.mck360Post.2Osse.9	3.39475041601955
1788.mck485Post.5Buma.5	5.325499581852418
1788.mck132Pre.3Bubo.3	4.122033992059868
1788.mck730Post.9Osse.1	4.548104102519951
1788.mck737Post.9Osse.8	5.174415453625772
1788.mck452Post.4Bubo.2	3.2104665661988383
1788.mck299Post.1Osse.1	3.8666093873669913
1788.mck496Post.5Rapi.5	3.8628175622465384
1788.mck455Post.4Bubo.5	2.4231819768678875
1788.mck275Post.1Buma.10	2.591965717323606
1788.mck482Post.5Buma.2	3.3159265246052647
1788.mck106Pre.3Raca.10	4.004206570965018
1788.mck622Post.7Bubo.10	3.6730318405479037
1788.mck454Post.4Bubo.4	3.1356369084803934
1788.mck641Post.8Raca.6	2.4626252664057744
1788.mck72Pre.2Rapi.8	3.4507647713881733
1788.mck483Post.5Buma.3	3.8964317391422494
1788.mck736Post.9Osse.7	5.1746649601740415
1788.mck183Pre.4Bubo.1	4.383114273928199
1788.mck688Post.9Raca.1	3.017267255716315
1788.mck298Post.1Bubo.10	3.179964157506073
1788.mck339Post.2Rapi.10	4.521215954560028
1788.mck777Post.10Rapi.4	4.0890301432053535
1788.mck287Post.1Rapi.11	3.858356647966431
1788.mck791Post.11Bubo.8	4.202525501414961
1788.mck457Post.4Bubo.7	3.199278598319106
1788.mck799Post.10Osse.6	3.991099042073474
1788.mck715Post.9Rapi.7	2.322893397275954
1788.mck706Post.9Buma.9	3.198934625433229
1788.mck481Post.5Buma.1	4.312419852790019
1788.mck734Post.9Osse.5	4.514917610010607
1788.mck144Pre.2Osse.5	2.021341211599933
1788.mck255Pre.4Osse.10	4.036728634874051
1788.mck456Post.4Bubo.6	2.312608178206294
1788.mck533Post.6Raca.10	4.897618503457888
1788.mck245Pre.5Bubo.10	4.284557717458706
1788.mck271Post.1Buma.6	4.077264333311669
1788.mck419Post.4Raca.2	3.09756607452171
1788.mck714Post.9Rapi.6	3.8339125735293766
1788.mck509Post.5Bubo.6	2.590227774827237
1788.mck306Post.1Osse.8	3.2000434097718577
1788.mck568Post.6Osse.2	4.764139655938802
1788.mck600Post.7Buma.11	4.95051954270986
1788.mck458Post.4Bubo.8	2.2323605080814035
1788.mck341Post.2Rapi.12	2.5924720071713234
1788.mck448Post.4Rapi.10	3.318915745088787
1788.mck800Post.10Osse.7	4.87484619808189
1788.mck801Post.10Osse.8	4.4807799590658774
1788.mck307Post.1Osse.9	3.9533783423584223
1788.mck569Post.6Osse.3	5.202818641120622
1788.mck516Post.5Osse.3	4.152056390503387
1788.mck459Post.4Bubo.9	3.339750435329857
1788.mck73Pre.2Rapi.9	3.298027829478094
1788.mck356Post.2Osse.5	5.063618315716483
1788.mck718Post.9Rapi.10	3.776790274260368
1788.mck155Pre.4Raca.6	4.705976025897894
1788.mck480Post.5Raca.10	3.3875890783313065
1788.mck351Post.2Bubo.10	4.071661909912368
1788.mck52Pre.2Raca.9	3.0703581754464064
1788.mck440Post.4Rapi.2	3.2451996893914665
1788.mck729Post.9Bubo.10	3.910515705163433
1788.mck511Post.5Bubo.8	2.9998462964173607
1788.mck135Pre.3Bubo.6	3.3357049462682786
1788.mck32Pre.1Rapi.11	3.5375190756126353
1788.mck738Post.9Osse.9	5.035306879432783
1788.mck259Post.1Raca.4	2.7927798337266974
1788.mck436Post.4Buma.9	3.3807348638176773
1788.mck538Post.6Buma.5	5.013592040853427
1788.mck441Post.4Rapi.3	3.3002458728324227
1788.mck527Post.6Raca.4	4.965613816453502
1788.mck164Pre.4Buma.5	4.709280910502192
1788.mck762Post.10Raca.10	4.631952373909108
1788.mck192Pre.4Bubo.10	3.888620664620494
1788.mck361Post.2Osse.10	4.893903496099171
1788.mck595Post.7Buma.6	5.20267065988424
1788.mck226Pre.5Rapi.3	2.728847394191371
1788.mck100Pre.3Raca.4	3.1488102936771782
1788.mck510Post.5Bubo.7	3.2339344401974257
1788.mck683Post.8Osse.6	3.769838062036813
1788.mck172Pre.4Rapi.2	3.2038975822384086
1788.mck698Post.9Buma.1	4.8316708727830635
1788.mck247Pre.4Osse.2	2.9624015932044894
1788.mck344Post.2Bubo.3	3.9672728037799723
1788.mck631Post.7Osse.9	3.525453643728797
1788.mck675Post.8Bubo.8	3.684663909578507
1788.mck651Post.8Buma.6	4.463744027037238
1788.mck566Post.6Bubo.10	3.47473289914617
1788.mck748Post.10Bubo.5	2.0533754132539968
1788.mck352Post.2Osse.1	3.717148430085765
1788.mck91Pre.1Osse.5	3.6991307033141143
1788.mck719Post.9Rapi.11	4.541953220847342
1788.mck532Post.6Raca.9	4.6972862339159995
1788.mck630Post.7Osse.8	3.3976804453247356
1788.mck681Post.8Osse.4	2.837513312062683
1788.mck7Pre.1Raca.7	3.2451288792482615
1788.mck489Post.5Buma.9	2.689259855740405
1788.mck696Post.9Raca.9	4.050441629097708
1788.mck261Post.1Raca.6	4.24673860724321
1788.mck763Post.10Buma.1	5.069632571996864
1788.mck410Post.3Osse.6	4.1336462625084405
1788.mck449Post.4Rapi.11	3.0781945693432937
1788.mck444Post.4Rapi.6	2.4858416459458934
1788.mck783Post.10Rapi.10	4.7952644672917
1788.mck488Post.5Buma.8	3.14084055867103
1788.mck591Post.7Buma.2	3.1335996443871603
1788.mck121Pre.3Rapi.4	2.9139480856810245
1788.mck111Pre.3Buma.5	4.498065523385706
1788.mck445Post.4Rapi.7	2.347286043187099
1788.mck411Post.3Osse.7	3.8599358185852424
1788.mck354Post.2Osse.3	3.0662876155543928
1788.mck47Pre.2Raca.4	3.4860971745637053
1788.mck136Pre.3Bubo.7	3.7927188475770657
1788.mck606Post.7Rapi.6	2.2543933602853423
1788.mck746Post.10Bubo.3	4.292221493215029
1788.mck621Post.7Bubo.9	4.542676886147036
1788.mck119Pre.3Rapi.2	3.987737489446256
1788.mck431Post.4Buma.4	4.812704241596946
1788.mck156Pre.4Raca.7	3.9205820324470393
1788.mck51Pre.2Raca.8	4.3168475997754845
1788.mck633Post.7Control.Mold1	4.820597701486364
1788.mck44Pre.2Raca.1	3.754649529949535
1788.mck607Post.7Rapi.7	3.3898686264893767
1788.mck657Post.8Rapi.1	1.9896485324353916
1788.mck2Pre.1Raca.2	2.8927902008786504
1788.mck80Pre.2Bubo.4	3.977711479270373
1788.mck576Post.6Osse.10	4.484855765115331
1788.mck638Post.8Raca.3	3.6138842020947144
1788.mck373Post.3Buma.2	4.298010188313026
1788.mck49Pre.2Raca.6	4.088492128684087
1788.mck342Post.2Bubo.1	2.650102432207515
1788.mck775Post.10Rapi.2	3.6470437068241703
1788.mck525Post.6Raca.2	4.730038009409635
1788.mck400Post.3Bubo.6	2.143869224055967
1788.mck557Post.6Bubo.1	2.1456239890383517
1788.mck604Post.7Rapi.4	2.6038353967531807
1788.mck27Pre.1Rapi.6	3.228386101112623
1788.mck443Post.4Rapi.5	2.8548504021254093
1788.mck65Pre.2Rapi.1	4.101409976443244
1788.mck433Post.4Buma.6	4.7780649632862024
1788.mck556Post.6Rapi.12	1.3187894940140288
1788.mck115Pre.3Buma.11	5.273863147292918
1788.mck17Pre.1Buma.7	3.1020779948233135
1788.mck390Post.3Rapi.8	2.2999012831705334
1788.mck177Pre.4Rapi.7	3.3245919075550767
1788.mck401Post.3Bubo.7	2.8906016968731505
1788.mck605Post.7Rapi.5	4.170023361468069
1788.mck369Post.3Raca.8	4.444956068245659
1788.mck611Post.7Rapi.11	3.9526493570173153
1788.mck750Post.10Bubo.8	3.785932748955974
1788.mck442Post.4Rapi.4	3.2931774345122373
1788.mck24Pre.1Rapi.3	2.642037761016441
1788.mck795Post.10Osse.2	4.741292914572574
1788.mck751Post.10Bubo.9	3.2478798609368646
1788.mck503Post.5Rapi.12	3.8299454882574815
1788.mck140Pre.2Osse.1	3.2204748205765505
1788.mck752Post.10Bubo.10	4.471660120707074
1788.mck297Post.1Bubo.9	3.9231593216934
1788.mck70Pre.2Rapi.6	4.099982593194962
1788.mck610Post.7Rapi.10	2.6526597021894496
1788.mck405Post.3Osse.1	5.255012645459503
1788.mck506Post.5Bubo.3	3.266800737950673
1788.mck654Post.8Buma.9	2.5369210630135144
1788.mck122Pre.3Rapi.5	3.7410561513223506
1788.mck204Pre.5Raca.2	3.6094440724137993
1788.mck201Pre.3Osse.9	3.5063044002870143
1788.mck220Pre.5Buma.8	4.991788271795493
1788.mck377Post.3Buma.6	2.822234805731359
1788.mck346Post.2Bubo.5	2.5486104097071127
1788.mck143Pre.2Osse.4	3.058208068207222
1788.mck309Post.2Raca.1	4.9101196952154
1788.mck603Post.7Rapi.3	3.5422071385781155
1788.mck368Post.3Raca.7	2.5091028947858875
1788.mck686Post.8Osse.9	4.320436784208815
1788.mck296Post.1Bubo.8	3.8408994388565816
1788.mck647Post.8Buma.2	4.629003627892402
1788.mck398Post.3Bubo.4	3.595833069614622
1788.mck691Post.9Raca.4	4.38099609703148
1788.mck182Pre.4Rapi.12	4.24046187852641
1788.mck338Post.2Rapi.9	3.0202032259687557
1788.mck728Post.9Bubo.9	4.002777695679255
1788.mck128Pre.3Rapi.11	4.322134962578632
1788.mck187Pre.4Bubo.5	2.5458364239530153
1788.mck740Post.9Control.Cricket	5.83544747675813
1788.mck228Pre.5Rapi.5	3.6389686374241825
1788.mck513Post.5Bubo.10	3.2441946386406917
1788.mck593Post.7Buma.4	4.593398583345738
1788.mck739Post.9Osse.10	4.727331990204768
1788.mck202Pre.3Osse.10	3.92572910655701
1788.mck225Pre.5Rapi.2	2.960872507218752
1788.mck407Post.3Osse.3	3.002407241014448
1788.mck215Pre.5Buma.3	2.400066563441416
1788.mck708Post.9Buma.11	2.6537271564566907
1788.mck249Pre.4Osse.4	3.5725501922758642
1788.mck191Pre.4Bubo.9	3.3015363387798673
1788.mck375Post.3Buma.4	3.9980092690824427
1788.mck504Post.5Bubo.1	2.4763908492326703
1788.mck148Pre.2Osse.9	3.144512613852603
1788.mck264Post.1Raca.9	4.341236421605662
1788.mck406Post.3Osse.2	4.595543092555402
1788.mck523Post.5Osse.10	4.5944494063921315
1788.mck180Pre.4Rapi.10	3.9054807618139713
1788.mck601Post.7Rapi.1	3.312314462688455
1788.mck268Post.1Buma.3	3.436646279972167
1788.mck189Pre.4Bubo.7	3.6560071701193126
1788.mck160Pre.4Buma.1	3.987524081472712
1788.mck320Post.2Buma.2	4.885193528358601
1788.mck632Post.7Osse.10	4.745287298303337
1788.mck63Pre.2Buma.10	4.805905218248356
1788.mck334Post.2Rapi.5	3.661461950036018
1788.mck71Pre.2Rapi.7	4.415746682508709
1788.mck370Post.3Raca.9	1.763176393968356
1788.mck546Post.6Rapi.2	3.39863730299462
1788.mck437Post.4Buma.10	3.3271139305121222
1788.mck637Post.8Raca.2	2.2606496670761205
1788.mck634Post.7Conrol.Mold2	3.709829302325158
1788.mck163Pre.4Buma.4	4.483156041482209
1788.mck131Pre.3Bubo.2	2.239485405069395
1788.mck321Post.2Buma.3	3.8486630316393193
1788.mck329Post.2Buma.11	4.597329988663851
1788.mck421Post.4Raca.4	5.36493170493353
1788.mck547Post.6Rapi.3	3.2910349091733537
1788.mck256Post.1Raca.1	3.903797406838092
1788.mck221Pre.5Buma.9	4.205360636785749
1788.mck151Pre.4Raca.2	3.6785219035135195
1788.mck200Pre.3Osse.8	2.923715656127982
1788.mck205Pre.5Raca.3	4.369142505501588
1788.mck679Post.8Osse.2	4.056447529071099
1788.mck190Pre.4Bubo.8	3.900266982137647
1788.mck336Post.2Rapi.7	3.5409984907360275
1788.mck277Post.1Rapi.1	3.4562567723920905
1788.mck214Pre.5Buma.2	2.406093536112378
1788.mck786Post.11Bubo.1	3.789156462015022
1788.mck379Post.3Buma.8	4.569256244764676
1788.mck522Post.5Osse.9	4.076317075852042
1788.mck186Pre.4Bubo.4	4.232410595464481
1788.mck617Post.7Bubo.5	4.438885446115651
1788.mck188Pre.4Bubo.6	3.0624999564845066
1788.mck519Post.5Osse.6	3.5503224626338246
1788.mck501Post.5Rapi.10	2.508353803545035
1788.mck423Post.4Raca.6	3.7313279340542165
1788.mck137Pre.3Bubo.8	3.485244300599754
1788.mck212Pre.5Raca.10	4.350172450708117
1788.mck535Post.6Buma.2	3.697327457733604
1788.mck157Pre.4Raca.8	3.698769896666237
1788.mck371Post.3Raca.10	3.558485593771031
1788.mck616Post.7Bubo.4	2.774619010531737
1788.mck50Pre.2Raca.7	4.644178213640368
1788.mck545Post.6Rapi.1	3.748161838726393
1788.mck668Post.8Rapi.12	2.895632722900133
1788.mck284Post.1Rapi.8	3.3431794211200576
1788.mck378Post.3Buma.7	2.1969571536733477
1788.mck319Post.2Buma.1	3.4763009211975984
1788.mck565Post.6Bubo.9	3.3272870143458317
1788.mck656Post.8Buma.11	3.8152644731773178
1788.mck324Post.2Buma.6	3.8336400724807245
1788.mck648Post.8Buma.3	5.177521173355991
1788.mck330Post.2Rapi.1	4.727987543133074
1788.mck415Post.3NA	5.289063540194758
1788.mck337Post.2Rapi.8	4.000750648107405
1788.mck250Pre.4Osse.5	3.8861192019633393
1788.mck669Post.8Bubo.1	2.4969024438925116
1788.mck285Post.1Rapi.9	3.688948303052542
1788.mck81Pre.2Bubo.5	3.298784343260034
1788.mck554Post.6Rapi.10	4.2624077367463755
1788.mck645Post.8Raca.10	3.652094795372963
1788.mck701Post.9Buma.4	4.540137486073201
1788.mck564Post.6Bubo.8	3.1260215322065705
1788.mck666Post.8Rapi.10	2.7019953483001773
1788.mck3Pre.1Raca.3	3.173218361330056
1788.mck325Post.2Buma.7	3.8599794231182396
1788.mck235Pre.5Rapi.12	3.3868956736290445
1788.mck494Post.5Rapi.3	3.4797635793302355
1788.mck16Pre.1Buma.6	4.700179067191316
1788.mck54Pre.2Buma.1	4.171071051151472
1788.mck388Post.3Rapi.6	1.3862315646589558
1788.mck96Pre.1Osse.10	2.999177190570629
1788.mck317Post.2Raca.9	4.972221183716678
1788.mck613Post.7Bubo.1	2.8023535748404904
1788.mck39Pre.1Bubo.6	3.7754900451491458
1788.mck664Post.8Rapi.8	3.079813479467265
1788.mck274Post.1Buma.9	3.6356928959733485
1788.mck328Post.2Buma.10	3.969731095560145
1788.mck332Post.2Rapi.3	2.3819740779755922
1788.mck609Post.7Rapi.9	2.8768136301297593
1788.mck59Pre.2Buma.6	3.9008730788837633
1788.mck267Post.1Buma.2	3.7061784742226367
1788.mck86Pre.2Bubo.10	3.193174107917991
1788.mck365Post.3Raca.4	3.6298007121655935
1788.mck389Post.3Rapi.7	3.552864511706308
1788.mck703Post.9Buma.6	3.864812228585047
1788.mck57Pre.2Buma.4	4.578641238751235
1788.mck727Post.9Bubo.8	2.838041634680433
1788.mck127Pre.3Rapi.10	3.901735242819068
1788.mck782Post.10Rapi.9	3.62725174212648
1788.mck316Post.2Raca.8	3.261558233063391
1788.mck583Post.7Raca.4	4.817000112623887
1788.mck289Post.1Bubo.1	3.3453164935169344
1788.mck37Pre.1Bubo.4	3.9154148685995978
1788.mck608Post.7Rapi.8	4.0041396050425275
1788.mck176Pre.4Rapi.6	4.652118830935657
1788.mck105Pre.3Raca.10	4.824780199075644
1788.mck676Post.8Bubo.9	2.8359584295599216
1788.mck652Post.8Buma.7	3.4565710021713936
1788.mck476Post.5Raca.6	4.171715667086371
1788.mck507Post.5Bubo.4	3.305953783371266
1788.mck384Post.3Rapi.2	2.691153246848056
1788.mck340Post.2Rapi.11	3.363418282919559
1788.mck672Post.8Bubo.4	3.2194676125453645
1788.mck244Pre.5Bubo.9	4.276829061493688
1788.mck260Post.1Raca.5	4.705192864955542
1788.mck690Post.9Raca.3	3.883150741067248
1788.mck434Post.4Buma.7	2.9136127670562377
1788.mck94Pre.1Osse.8	3.584068034509742
1788.mck531Post.6Raca.8	4.990726457070345
1788.mck477Post.5Raca.7	3.9670811605934317
1788.mck588Post.7Raca.9	2.8344357601254426
1788.mck385Post.3Rapi.3	1.664324939780282
1788.mck673Post.8Bubo.5	3.9562200774151477
1788.mck597Post.7Buma.8	4.674775629928734
1788.mck162Pre.4Buma.3	4.047509464050255
1788.mck590Post.7Buma.1	4.348100192943547
1788.mck792Post.11Bubo.9	3.445404655741157
1788.mck374Post.3Buma.3	3.315166224437242
1788.mck687Post.8Osse.10	3.9192585626214402
1788.mck149Pre.2Osse.10	3.597995891789584
1788.mck237Pre.5Bubo.2	3.5002541888208714
