Response	Predictor	Species	median	lower95	upper95	significant
disper_braycurtis	Anbo_1	Anbo	-0.00988701976867266	-0.144569518407828	0.0646232592685593	FALSE
disper_braycurtis	Anbo_10	Anbo	0.00105079766553082	-0.0802076853168782	0.086045201977486	FALSE
disper_braycurtis	Anbo_2	Anbo	0.0353435967679757	-0.0386752833362383	0.199426099866406	FALSE
disper_braycurtis	Anbo_3	Anbo	0.019448041948846	-0.0503820086541276	0.166538986955986	FALSE
disper_braycurtis	Anbo_4	Anbo	0.00309149151738836	-0.0848698734047693	0.107131692484704	FALSE
disper_braycurtis	Anbo_5	Anbo	-0.000379965832799237	-0.101932791276908	0.0884792605122106	FALSE
disper_braycurtis	Anbo_6	Anbo	-0.0020272772331716	-0.104980912284652	0.0840019192724773	FALSE
disper_braycurtis	Anbo_7	Anbo	-0.0129767795138418	-0.124145889178939	0.0508849262253467	FALSE
disper_braycurtis	Anbo_8	Anbo	-0.0264886762693026	-0.146524202508004	0.039672547471328	FALSE
disper_braycurtis	Anbo_9	Anbo	-0.00349544048067434	-0.0991999036379531	0.0671054990542976	FALSE
disper_braycurtis	Osse_1	Osse	0.00829305649408663	-0.0702348703131368	0.131617971834383	FALSE
disper_braycurtis	Osse_10	Osse	-0.012472483733443	-0.119709861576847	0.0578415192362379	FALSE
disper_braycurtis	Osse_2	Osse	0.00215628670756294	-0.0904198856165303	0.109439835601512	FALSE
disper_braycurtis	Osse_3	Osse	0.000200973831911162	-0.100472106582514	0.0940157799300591	FALSE
disper_braycurtis	Osse_4	Osse	0.00494481304260527	-0.0773909363492798	0.112035223685608	FALSE
disper_braycurtis	Osse_5	Osse	0.00170178230501519	-0.0899554345331647	0.106423480260534	FALSE
disper_braycurtis	Osse_6	Osse	-0.00874709546764329	-0.131029952819494	0.0653590987821526	FALSE
disper_braycurtis	Osse_7	Osse	-0.00450329853630777	-0.100370427222843	0.0746967747216783	FALSE
disper_braycurtis	Osse_8	Osse	0.00488342021118577	-0.0713656825077078	0.104184096467974	FALSE
disper_braycurtis	Osse_9	Osse	-0.00035038771514096	-0.088769033019431	0.0831390144396132	FALSE
disper_braycurtis	Raca_1	Raca	0.00554439343701134	-0.0770886682951742	0.121448301896374	FALSE
disper_braycurtis	Raca_10	Raca	-0.000138617673345321	-0.0880993418799222	0.0847608854071588	FALSE
disper_braycurtis	Raca_2	Raca	0.00168597146448969	-0.089375225492647	0.102638743939926	FALSE
disper_braycurtis	Raca_3	Raca	-0.000633179034253802	-0.100251096275503	0.0935985889942777	FALSE
disper_braycurtis	Raca_4	Raca	-0.00390676523230723	-0.108063384075309	0.0814951995513134	FALSE
disper_braycurtis	Raca_5	Raca	0.00038350805464806	-0.10078159654741	0.0942895166011278	FALSE
disper_braycurtis	Raca_6	Raca	0.00526682122985387	-0.079832567010368	0.111761099964477	FALSE
disper_braycurtis	Raca_7	Raca	0.00285822723525014	-0.0884464709828241	0.100108602062291	FALSE
disper_braycurtis	Raca_8	Raca	-0.00270494779331383	-0.0979757702300559	0.0724339305694116	FALSE
disper_braycurtis	Raca_9	Raca	-0.00975979730679835	-0.130209231945186	0.0648305521161374	FALSE
disper_braycurtis	Rapi_3	Rapi	-0.0123306745444787	-0.141964637788652	0.0658311807303117	FALSE
disper_braycurtis	Rapi_4	Rapi	0.010721507561118	-0.0611250320054028	0.128238214146219	FALSE
disper_braycurtis	Rapi_6	Rapi	0.00138020463457478	-0.0787991667714779	0.105020458166999	FALSE
disper_braycurtis	Rhma_1	Rhma	0.00952583219909379	-0.0617527562727373	0.110574480054177	FALSE
disper_braycurtis	Rhma_2	Rhma	0.00563418585013766	-0.0823220127737057	0.121698274873321	FALSE
disper_braycurtis	Rhma_3	Rhma	-0.0170777077451474	-0.130210798333534	0.049754550716786	FALSE
disper_braycurtis	Rhma_5	Rhma	6.1891224093866e-05	-0.0843708182899825	0.0852852910925877	FALSE
disper_braycurtis	Rhma_8	Rhma	-0.00372589123552953	-0.112259765795581	0.079825024454832	FALSE
disper_braycurtis	Rhma_9	Rhma	0.00264617434672472	-0.0811417913636522	0.108172777222332	FALSE
disper_unweighted_unifrac	Anbo_1	Anbo	9.55649993018929e-05	-0.0379072285357517	0.0402756708010683	FALSE
disper_unweighted_unifrac	Anbo_10	Anbo	0.000302356357934142	-0.0336300560702723	0.0383081725581022	FALSE
disper_unweighted_unifrac	Anbo_2	Anbo	0.00161927497176503	-0.0311358960240592	0.0496975512249087	FALSE
disper_unweighted_unifrac	Anbo_3	Anbo	-0.000173853331269921	-0.042610155496455	0.0349468827977955	FALSE
disper_unweighted_unifrac	Anbo_4	Anbo	-0.000271223754362719	-0.037884794421899	0.0374501664929411	FALSE
disper_unweighted_unifrac	Anbo_5	Anbo	-4.7997366005379e-05	-0.0389243648923526	0.0388035629413626	FALSE
disper_unweighted_unifrac	Anbo_6	Anbo	9.73840719214434e-06	-0.0387610068783431	0.0373095360082675	FALSE
disper_unweighted_unifrac	Anbo_7	Anbo	-0.000656942887271668	-0.0429670745307559	0.0317548440701842	FALSE
disper_unweighted_unifrac	Anbo_8	Anbo	-0.00139111606586165	-0.0445815419690455	0.0293942755147323	FALSE
disper_unweighted_unifrac	Anbo_9	Anbo	0.000660903340402878	-0.032823039569609	0.0387263189465118	FALSE
disper_unweighted_unifrac	Osse_1	Osse	-0.000935919404694568	-0.0428581739885502	0.0374725123363539	FALSE
disper_unweighted_unifrac	Osse_10	Osse	-0.000994282385913254	-0.0418259557474617	0.0334647786548846	FALSE
